customerNickname,helpfulNo,helpfulYes,imagesCount,languageCode,postedDate,productId,ratingValue,reviewText,score,Mask_Name,Type,Size,Design,Pack,product_price
iHerb Customer,0,6,1,en-US,2021-01-27,103839,50,The mask quality and the color is good. It fits to my face fine. ,1614071050.569,Lozperi, Copper Mask, Adult, Dot,1,6.85
iHerb Customer,0,0,0,ru-RU,2021-02-07,103839,50,The grandson really liked it. Comfortable mask.,1612659399.055,Lozperi, Copper Mask, Adult, Dot,1,6.85
iHerb Customer,0,0,0,en-US,2021-02-06,103839,40,Easy to put on & comfortable to wear.,1612647602.886,Lozperi, Copper Mask, Adult, Dot,1,6.85
InnaIgorevna,0,0,0,ru-RU,2021-02-05,103839,40,A thin mask that is pleasant to the body. I liked the colors too,1612542568.906,Lozperi, Copper Mask, Adult, Dot,1,6.85
iHerb Customer,0,0,0,ru-RU,2021-02-05,103839,50,Great mask! It suited me perfectly. There is a slight smell. It looks decent. The quality is excellent.,1612518222.367,Lozperi, Copper Mask, Adult, Dot,1,6.85
iHerb Customer,0,0,0,en-US,2021-02-02,103839,50,"a little bigger for a small face..for me it is better kid size ...
however, it is such an extremely pleasant material...
I am very surprised and excited ...",1612268902.584,Lozperi, Copper Mask, Adult, Dot,1,6.85
iHerb Customer,0,0,0,ru-RU,2021-02-02,103839,50,"Nice fabric, fits the face comfortably, does not interfere with breathing.",1612268633.355,Lozperi, Copper Mask, Adult, Dot,1,6.85
iHerb Customer,0,0,0,en-US,2021-02-01,103839,50,The Copper fibers in the fabric not only offers sterilization against germs but also gives protection against radiation.,1612213199.034,Lozperi, Copper Mask, Adult, Dot,1,6.85
Maxchen,0,1,0,ru-RU,2021-01-27,103839,50,"Good mask, comfortable, good air flow. There are no seams at the points of contact with the face and it is very comfortable, there is no feeling of heaviness. On an unshaven face, the mask gradually drops down during conversation or chewing due to the characteristic dynamics of the jaw, the bristles on the face act as a lever in this process. But this phenomenon is also observed when using other masks. The fabric is very soft on the face and does not cause discomfort.",1612114736.182,Lozperi, Copper Mask, Adult, Dot,1,6.85
iHerb Customer,0,0,0,en-US,2021-01-27,103839,50,will buy again!,1611737015.293,Lozperi, Copper Mask, Adult, Dot,1,6.85
iHerb Customer,0,0,0,he-IL,2021-01-26,103839,50,A very comfortable mask,1611684613.232,Lozperi, Copper Mask, Adult, Dot,1,6.85
iHerb Customer,0,0,0,en-US,2021-01-20,103839,50,I like the color ,1611182185.395,Lozperi, Copper Mask, Adult, Dot,1,6.85
iHerb Customer,0,0,0,en-US,2021-02-04,101691,40,Good,1612435524.518,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2021-02-04,101691,50,"Soft, breathable and stylish!  I will be buying more of these soon!",1612430058.738,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,he-IL,2021-02-03,101691,50,Pleasant and soft fabric. Washes easily and dries very quickly recommends,1612337716.416,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
Mahaab,0,0,0,ar-SA,2021-02-02,101691,50,"Excellent, comfortable and great color",1612308851.526,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2021-02-01,101691,40,These masks fit well and are very comfortable. There are many layers of fabric but they are still breathable. I wish they sold them separately or in a variety of solid colors.,1612170226.177,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2021-01-31,101691,30,my glasses fog up when I wear this mask,1612124366.391,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,ja-JP,2021-01-31,101691,50,"It&#39;s reasonably priced, but I like the fabric and colors.",1612071334.778,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,1,0,ru-RU,2021-01-26,101691,50,"Repeated purchase, I am satisfied with the quality. The exchange is universal, perfect for girls. The print does not change after washing. Sat down a little after washing. The quality of the tailoring is very good, the material is cotton.",1612047904.115,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2021-01-30,101691,50,Nice on the skin ,1612028524.641,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,ru-RU,2021-01-27,101691,50,"I use masks every day, they wash very well, they are easy to breathe",1611721550.01,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
